world_cup_year,team_name,elo_rating,elo_rank,elo_1yr_change_rating,win_ratio,goals_ratio,count_matches
1982,West Germany,2111,1,0,0.5660377358490566,2.406708595387841,7
1982,Brazil,2091,2,46,0.6272727272727273,2.2795454545454548,5
1982,Argentina,2006,3,7,0.5381882770870338,2.053285968028419,5
1982,Soviet Union,2001,4,49,0.5573770491803278,1.9344262295081966,5
1982,Poland,1959,5,12,0.42487046632124353,1.9481865284974094,7
1982,Belgium,1917,6,0,0.38620689655172413,1.8436781609195403,5
1982,Yugoslavia,1916,7,42,0.4805491990846682,2.196796338672769,3
1982,Italy,1914,8,0,0.5318066157760815,1.984732824427481,7
1982,Netherlands,1912,9,0,0.45083932853717024,2.1678657074340526,0
1982,East Germany,1912,9,0,0.47533632286995514,1.798206278026906,0
1982,England,1899,11,0,0.6031746031746031,2.734920634920635,5
1982,Austria,1895,12,0,0.4432314410480349,2.032751091703057,5
1982,France,1894,13,0,0.37317073170731707,1.7853658536585366,7
1982,Czechoslovakia,1893,14,0,0.4530120481927711,2,3
1982,Spain,1878,15,30,0.49049429657794674,1.8631178707224334,5
1982,Wales,1850,16,0,0.2803234501347709,1.3369272237196765,0
1982,Scotland,1847,17,52,0.5258620689655172,2.1206896551724137,3
1982,Hungary,1808,18,33,0.5316239316239316,2.483760683760684,3
1982,South Africa,1797,19,0,0.43902439024390244,2.4878048780487805,0
1982,Uruguay,1790,20,54,0.4297029702970297,1.699009900990099,0
1982,Northern Ireland,1786,21,0,0.2620967741935484,1.1693548387096775,5
1982,Chile,1785,22,83,0.31750741839762614,1.4391691394658754,3
1982,Ireland,1778,23,29,0.27424749163879597,1.3210702341137124,0
1982,Romania,1771,24,0,0.3904761904761905,1.6761904761904762,0
1982,Denmark,1755,25,101,0.4392523364485981,2.116822429906542,0
1982,Bulgaria,1747,26,79,0.36231884057971014,1.4956521739130435,0
1982,Portugal,1746,27,0,0.36936936936936937,1.445945945945946,0
1982,Iran,1741,28,0,0.5306122448979592,1.7346938775510203,0
1982,Peru,1727,29,0,0.35080645161290325,1.5040322580645162,3
1982,Iraq,1724,30,6,0.5161290322580645,1.7419354838709677,0
1982,Sweden,1721,31,77,0.49744463373083475,2.3475298126064734,0
1982,Paraguay,1687,32,0,0.3419354838709677,1.461290322580645,0
1982,South Korea,1686,33,0,0.6243243243243243,2.0945945945945947,0
1982,Israel,1686,33,9,0.4088050314465409,1.5660377358490567,0
1982,Ghana,1683,35,19,0.5495495495495496,2.189189189189189,0
1982,Algeria,1676,36,1,0.43373493975903615,1.5783132530120483,3
1982,Greece,1669,37,0,0.27979274611398963,1.3419689119170986,0
1982,Mexico,1667,38,0,0.4843205574912892,1.8745644599303135,0
1982,Switzerland,1663,39,88,0.2785388127853881,1.4657534246575343,0
1982,Tunisia,1660,40,0,0.3701923076923077,1.4375,0
1982,Kuwait,1655,41,79,0.5035460992907801,1.9148936170212767,3
1982,China,1638,42,54,0.574468085106383,2.367021276595745,0
1982,Egypt,1621,43,14,0.51931330472103,2.2532188841201717,0
1982,Honduras,1621,43,57,0.36363636363636365,1.3484848484848484,3
1982,Cameroon,1618,45,31,0.417910447761194,1.8880597014925373,3
1982,Canada,1611,46,15,0.34328358208955223,1.328358208955224,0
1982,Zaire,1604,47,2,0.5253164556962026,2.1265822784810124,0
1982,El Salvador,1597,48,63,0.4263959390862944,1.7055837563451777,3
1982,Morocco,1589,49,0,0.4611872146118721,1.5342465753424657,0
1982,New Zealand,1588,50,118,0.44285714285714284,2.15,3
1982,Colombia,1587,51,7,0.22388059701492538,1.171641791044776,0
1982,North Korea,1585,52,0,0.5757575757575758,2.080808080808081,0
1982,Senegal,1583,53,0,0.3959731543624161,1.4093959731543624,0
1982,Cuba,1581,54,0,0.36904761904761907,1.3928571428571428,0
1982,Zambia,1576,55,76,0.5136363636363637,2.2772727272727273,0
1982,Mali,1574,56,31,0.4263565891472868,1.573643410852713,0
1982,Australia,1573,57,0,0.49222797927461137,2.2072538860103625,0
1982,Tahiti,1563,58,36,0.5542168674698795,3.2048192771084336,0
1982,Nigeria,1558,59,0,0.4439252336448598,1.691588785046729,0
1982,Congo,1555,60,0,0.44936708860759494,2.0632911392405062,0
1982,Libya,1542,61,0,0.3357664233576642,1.7445255474452555,0
1982,Bolivia,1542,61,0,0.24305555555555555,1.1388888888888888,0
1982,Ivory Coast,1541,63,0,0.45454545454545453,1.6853146853146854,0
1982,Guinea,1537,64,0,0.42780748663101603,1.9090909090909092,0
1982,Zimbabwe,1536,65,19,0.4107142857142857,1.6785714285714286,0
1982,Turkey,1529,66,0,0.32407407407407407,1.3703703703703705,0
1982,Norway,1520,67,0,0.29904306220095694,1.576555023923445,0
1982,St Vincent & Grenadines,1520,67,20,0.43333333333333335,1.65,0
1982,United States,1514,69,0,0.24806201550387597,1.310077519379845,0
1982,Guatemala,1507,70,0,0.3672316384180791,1.7118644067796611,0
1982,Costa Rica,1505,71,0,0.5904761904761905,2.6,0
